country,country_code_m49,year,month,temp_change_c
Angola,024,2023,9,1.874
Angola,024,2024,9,1.89
Angola,024,2025,9,1.906
Angola,024,2020,10,1.243
Angola,024,2021,10,0.979
Angola,024,2022,10,0.709
Angola,024,2023,10,1.735
Angola,024,2024,10,0.505
Angola,024,2025,10,1.504
Angola,024,2020,11,1.01
Angola,024,2021,11,1.095
Angola,024,2022,11,0.876
Angola,024,2023,11,1.135
Angola,024,2024,11,0.566
Angola,024,2025,11,1.322
Angola,024,2020,12,1.047
Angola,024,2021,12,1.238
Angola,024,2022,12,0.972
Angola,024,2023,12,1.182
Angola,024,2024,12,0.621
Angola,024,2025,12,1.463
Anguilla,660,2020,1,1.107
Anguilla,660,2021,1,0.939
Anguilla,660,2022,1,1.004
Anguilla,660,2023,1,0.772
Anguilla,660,2024,1,1.789
Anguilla,660,2025,1,1.555
Anguilla,660,2020,2,1.274
Anguilla,660,2021,2,1.238
Anguilla,660,2022,2,0.695
Anguilla,660,2023,2,0.473
Anguilla,660,2024,2,1.274
Anguilla,660,2025,2,1.546
Anguilla,660,2020,3,0.473
Anguilla,660,2021,3,0.853
Anguilla,660,2022,3,0.821
Anguilla,660,2023,3,0.554
Anguilla,660,2024,3,1.648
Anguilla,660,2025,3,1.447
Anguilla,660,2020,4,1.308
Anguilla,660,2021,4,0.687
Anguilla,660,2022,4,0.473
Anguilla,660,2023,4,0.552
Anguilla,660,2024,4,1.464
Anguilla,660,2025,4,0.819
Anguilla,660,2020,5,1.612
Anguilla,660,2021,5,0.816
Anguilla,660,2022,5,0.775
Anguilla,660,2023,5,1.122
Anguilla,660,2024,5,1.782
Anguilla,660,2025,5,0.92
Anguilla,660,2020,6,1.496
Anguilla,660,2021,6,0.369
Anguilla,660,2022,6,0.855
Anguilla,660,2023,6,1.47
Anguilla,660,2024,6,1.773
Anguilla,660,2025,6,0.784
Anguilla,660,2020,7,1.156
Anguilla,660,2021,7,0.798
Anguilla,660,2022,7,0.613
Anguilla,660,2023,7,1.6
Anguilla,660,2024,7,1.488
Anguilla,660,2025,7,0.86
Anguilla,660,2020,8,1.432
Anguilla,660,2021,8,0.853
Anguilla,660,2022,8,0.975
Anguilla,660,2023,8,1.741
Anguilla,660,2024,8,1.388
Anguilla,660,2025,8,1.424
Anguilla,660,2020,9,1.174
Anguilla,660,2021,9,0.991
Anguilla,660,2022,9,0.771
Anguilla,660,2023,9,2.189
Anguilla,660,2024,9,1.602
Anguilla,660,2025,9,1.055
Anguilla,660,2020,10,0.713
Anguilla,660,2021,10,0.846
Anguilla,660,2022,10,0.798
Anguilla,660,2023,10,1.528
Anguilla,660,2024,10,1.844
Anguilla,660,2025,10,1.076
Anguilla,660,2020,11,0.574
Anguilla,660,2021,11,0.774
Anguilla,660,2022,11,0.7
Anguilla,660,2023,11,1.592
Anguilla,660,2024,11,1.229
Anguilla,660,2025,11,0.695
Anguilla,660,2020,12,0.678
Anguilla,660,2021,12,1.351
Anguilla,660,2022,12,0.594
Anguilla,660,2023,12,1.13
Anguilla,660,2024,12,1.566
Anguilla,660,2025,12,0.925
Antarctica,010,2020,1,-0.237
Antarctica,010,2021,1,-0.937
Antarctica,010,2022,1,-0.522
Antarctica,010,2023,1,-2.842
Antarctica,010,2024,1,-2.245
Antarctica,010,2025,1,0.851
Antarctica,010,2020,2,0.047
